,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,hiro,0.0,1.0,0.0,0.0,2007-12-31 23:50:13+00:00,hiro,明日apple store襲撃できればいいな,0,0,0
1,aaronsteele,0.176,0.64,0.184,0.0258,2007-12-31 23:49:40+00:00,aaronsteele,"Whoever keeps trying to reset my Apple password, please stop.",0,0,0
2,haripakorss,0.0,1.0,0.0,0.0,2007-12-31 23:48:33+00:00,haripakorss,"digg_feeds: Inside Apple Stores, a Certain Aura Enchants the Faithful (http://tinyurl.com/ysy6ts) It .. http://tinyurl.com/229zhd",0,0,0
3,tuxcator,0.0,1.0,0.0,0.0,2007-12-31 23:46:44+00:00,tuxcator,Ayer me compre 10 acciones de apple a 200 dolares con la esperanza de hacerme millonario en la MacWorld.  Que mas mejor empezar bien el año.,0,0,0
4,colinloretz,0.185,0.815,0.0,-0.6486,2007-12-31 23:45:36+00:00,colinloretz,"At apple store, my iphone is dead and on the verge of exploding. It is about 200 degrees in temperature",0,0,0
5,simplynews,0.091,0.744,0.165,0.2023,2007-12-31 23:45:30+00:00,simplynews,"digg: Inside Apple Stores, a Certain Aura Enchants the Faithful: It was 2 o’clock in the morning but in the subterranean r..",0,0,0
6,StephAndrews,0.0,0.864,0.136,0.296,2007-12-31 23:45:23+00:00,StephAndrews,Making pizzas and opening bottles of sparkling apple and cherry juice for New Year's Eve,0,0,0
7,lennthompson,0.0,0.851,0.149,0.5927,2007-12-31 23:42:29+00:00,lennthompson,"Drinking Lenz Winery 1994 Cuvee RD to open the evening. Lots of apple, yeasty and doughy...not as complex as I remember, but still good.",0,0,0
8,Club140,0.298,0.702,0.0,-0.872,2007-12-31 23:42:14+00:00,Club140,"Twitter post from Dave Winer: @groby, I think it's a huge security hole, and Apple is causing it. Worse than the malware situation..",0,0,0
9,adamstac,0.0,1.0,0.0,0.0,2007-12-31 23:40:18+00:00,adamstac,I'm now at the big apple. JFK.,0,0,0
10,ojezap,0.0,0.827,0.173,0.5267,2007-12-31 23:38:07+00:00,ojezap,"Silly Apple: Instead of closing MOA store early New Year's Eve, close LATER, get family-reveler foot traffic. There goes 63% of fun tonight.",0,0,0
11,davidrisley,0.0,1.0,0.0,0.0,2007-12-31 23:31:30+00:00,davidrisley,"New Post: 2007 Microsoft, Apple Follies, Looking Forward To 2008 (Podcast) http://tinyurl.com/2bsvot",0,0,0
12,diggupdates,0.0,0.583,0.417,0.6124,2007-12-31 23:29:58+00:00,diggupdates,"Inside Apple Stores, a Certain Aura Enchants the Faithful http://tinyurl.com/3xz8vy",0,0,0
13,lastmacen,0.0,1.0,0.0,0.0,2007-12-31 23:28:44+00:00,lastmacen,"Inside Apple Stores, a Certain Aura Enchants the Faithful: It was 2 o’clock in the morning but in the s.. http://tinyurl.com/3xz8vy",0,0,0
14,lastmaces,0.128,0.872,0.0,-0.4466,2007-12-31 23:28:39+00:00,lastmacen,"Motley Fool declares Apple stock of 2008: Filed under: Apple Financial, AppleWill 2008 be the year of A.. http://tinyurl.com/2acv7v",0,0,0
15,kyleakoch,0.0,1.0,0.0,0.0,2007-12-31 23:28:28+00:00,lastmaces,"Inside Apple Stores, a Certain Aura Enchants the Faithful: It was 2 o’clock in the morning but in the s.. http://tinyurl.com/3xz8vy",0,0,0
