,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,asanuma810725,0.0,1.0,0.0,0.0,2021-12-31 23:59:54+00:00,asanuma810725,@mameume_apple みかんさん、明けましておめでとうございます🌅,1,0,0
1,lastrellpoet,0.089,0.75,0.161,0.7574,2021-12-31 23:59:52+00:00,lastrellpoet,"Where do you see a bright future, when the past still haunts us. We fall for it all the time

Yet they continue to bite that apple in the big apple every year! The Devils Fruit basket &amp; the cycle of ignorance &amp; sensitive feelings happens all over again. 

But, yeah happy new year",0,0,0
2,LILICOFAIRY,0.0,0.762,0.238,0.3612,2021-12-31 23:59:51+00:00,LILICOFAIRY,Looks like an apple CEO introducing a new iphone😳 https://t.co/9z4bGRJU34,0,1,5
3,Tomb_Raider__,0.0,1.0,0.0,0.0,2021-12-31 23:59:45+00:00,Tomb_Raider__,"@govindsingh_24 Bilkul sahi✌️😆
Apple 🍎 h waise Govind🤣🤣🤣 https://t.co/1jbO1ygLV3",2,0,2
4,MeganCarolan,0.0,0.876,0.124,0.4767,2021-12-31 23:59:43+00:00,MeganCarolan,"Meanwhile the baby just ate (not just bit off - swallowed) a piece of an Apples to Apples card.

I admire that he chose ""bold."" https://t.co/vle6GJbunK",0,0,7
5,Sol_JOK3R,0.0,1.0,0.0,0.0,2021-12-31 23:59:39+00:00,Sol_JOK3R,Got a Apple Watch you know the first thing I had to to was put my @thugmonkez on it. 💪🏻🐒 @thugmonkezdao,2,0,1
6,kobe_smile,0.0,1.0,0.0,0.0,2021-12-31 23:59:39+00:00,kobe_smile,"is the Apple Music app ON ps4 ?

iHOPE NOT☺️",0,0,0
7,trillmakaveliOk,0.0,0.783,0.217,0.3612,2021-12-31 23:59:39+00:00,trillmakaveliOk,Nothing wakes you up like a coldshower and apple cider vinegar,0,0,0
8,WaterSheep74,0.0,0.564,0.436,0.9706,2021-12-31 23:59:37+00:00,WaterSheep74,@appleefrog APPLE ILY TOO!! you’re one of the sweetest and funniest people i’ve had the honor of meeting on twitch :) i’m so proud of you too and i appreciate you so so much &lt;33,0,0,0
9,UglyCalifornia,0.215,0.538,0.246,-0.167,2021-12-31 23:59:34+00:00,UglyCalifornia,Apple Alarm never stops when you want it to,0,0,1
10,RtQe_,0.0,1.0,0.0,0.0,2021-12-31 23:59:29+00:00,RtQe_,@Apple_Muffin2 ❤️❤️❤️,0,0,0
11,illtrilltroy,0.0,0.625,0.375,0.2023,2021-12-31 23:59:21+00:00,illtrilltroy,Jack Apple top tier,0,0,0
12,BangtanIRE,0.0,0.833,0.167,0.2023,2021-12-31 23:59:19+00:00,BangtanIRE,"🇮🇪 Apple Music Top 100 

#47 - My Universe 

@BTS_twt 💜 https://t.co/Or5ZE7Rsjt",0,3,6
