,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,Every_Paz,0.0,1.0,0.0,0.0,2022-10-16 18:38:35+00:00,Every_Paz,"@melvynxdev Desole c est de la merde autant l un que l autre. Un jour, un mec va debunk cette dobe et expliquer pourquoi ca sert a rien, comme l utilité d avoir un environnement apple, ou celui d avoir une tele 2m"""" et la placer a 3m de son canapé. Bref",0,0,1
1,quoifeur444,0.029,0.971,0.0,-0.128,2022-10-16 18:31:47+00:00,quoifeur444,"@C_moiLeGoat ils ont pas accès à tout les mods twitter, Spotify, etc
Ils peuvent pas jouer à la 3Ds et Wii U (bon là Wii U faut un bon tel)
Ils peuvent pas développer sur leurs tels
Ils ont 2x moins d'applis sur leur store
Ils peuvent connecter leur tel qu'à l'environnement apple

Android &gt;",2,0,3
2,PenoCuenta,0.0,1.0,0.0,0.0,2022-10-16 09:31:32+00:00,PenoCuenta,"@JeremAlleyrat @TPRD007 @Tofeur_F1 Fais semblant de pas comprendre le gauchiste. Y’a rien de plus intuitif que l’environnement Apple, tu peux rien y faire.",3,0,0
3,Invinsed,0.0,1.0,0.0,0.0,2022-10-15 19:52:04+00:00,Invinsed,"@RoyBattySF @jusquaudrnierg @Tofeur_F1 J'ai du fric et je prends pas le plus cher parce que je compare avant d'acheter et que j'aime pas l'environnement fermé d'Apple (pas de YouTube vanced ou Newpipe par exemple), et le rapport qualité prix est médiocre (tout comme chez Samsung mais en pire).",1,0,0
4,jmeyran,0.0,1.0,0.0,0.0,2022-10-15 18:47:29+00:00,jmeyran,"@JeanSeb @Eleusie_ Sinon, c’est Marla qui a raison (comme d’hab) avec un environnement Apple (qui fonctionne tous seul)",1,0,1
5,Pope_Corn,0.0,1.0,0.0,0.0,2022-10-15 18:28:07+00:00,Pope_Corn,"@NovaRmi1 @Tofeur_F1 Le pb d’android c’est l’environnement… puree je trouve ça tellement moche le système android! Pas du tt intuitif! On peut critiquer Apple, mais niveau software, celui qui dit qu’android est mieux n’est pas honnête",2,0,1
6,nclairembault,0.0,0.906,0.094,0.6249,2022-10-15 15:38:02+00:00,nclairembault,"@LelloucheNico @JeromeColombain Donc avec des lunettes ? Pour moi ici c'est de l'AR car ce ""casque VR"" est ici en mode qui permet de voir normalement son champ de vision sans être immergé dans un environnement virtuel. Donc pleinement le cas AR selon moi. Le casque Apple aura vraisemblablement ces deux modes",1,0,0
7,clarinette02,0.0,1.0,0.0,0.0,2022-10-15 11:24:59+00:00,clarinette02,@pbeyssac @TheophanyHD Parce que ces mêmes jeunes ont leur Apple gadgets et changement de baskets des que le dernier cri est sorti et consomme sans vergogne. On a juste atteint le stade où se soucier de l’environnement est plus chic. Reste encore à agir.,1,0,0
8,florianrenete,0.0,0.909,0.091,0.4588,2022-10-14 19:51:46+00:00,florianrenete,"#Apple condamné aujourd'hui au Brésil à payer 20m$ pour la vente de téléphones sans chargeur.

Apple a cessé d'inclure un chargeur depuis le lancement de l'iPhone 12, invoquant un ""engagement envers l'environnement"". https://t.co/Xg4lC9gTwT",0,0,0
9,gustin_ho,0.0,1.0,0.0,0.0,2022-10-13 15:35:40+00:00,gustin_ho,"@louzbrl @francaisfier2 @CerfiaFR c'est juste des compromis: apple, environnement fermé, peu d'innovation, plutôt cher mais un os très quali, pas bcp de bug, très fluide, bel écosystèmes. Android : plus ouvert, plus d'innovation, moins cher. Et le fait que los d'Apple étant pour peu de tel il est plus opti",0,0,0
