,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,khalileuhh,0.434,0.566,0.0,-0.3182,2022-10-15 23:56:42+00:00,khalileuhh,@5atimmm Bizarre ton iPhone,0,0,1
1,HastaLaV1staa,0.041,0.959,0.0,-0.2003,2022-10-15 23:49:35+00:00,HastaLaV1staa,@jokkeur @Geeo__ @Tofeur_F1 Les nouveaux iphone n'ont pas encore 6 mois...,0,0,0
2,_NamHai,0.0,1.0,0.0,0.0,2022-10-15 23:48:47+00:00,_NamHai,l'iPhone produit en chine mais acheté et utilisé en France il compte comme émission où ? 🥸🥸🥸🥸 https://t.co/WFkxednAqA,0,0,1
3,SmartphonesNew2,0.0,1.0,0.0,0.0,2022-10-15 23:48:19+00:00,SmartphonesNew2,Google Pixel 7 vs iPhone 14: Specs Comparison https://t.co/gKp5JM2SSV a través de @gizmochina,0,0,0
4,MadCapitaliste,0.0,1.0,0.0,0.0,2022-10-15 23:47:36+00:00,MadCapitaliste,"@drixxxe29 @OlivierBabeau Dit il depuis son Iphone

Ça t'as pas trop dérangéd'enrichir (ou te faire voler) par Apple ?",1,0,0
5,thejackkltd,0.0,1.0,0.0,0.0,2022-10-15 23:46:06+00:00,thejackkltd,@Pope_Corn @Joshtuner9 @NovaRmi1 @Tofeur_F1 Est-ce que les 3 boutons sont arrivés sur iPhone ou bien c'est pour l'an prochain ?,0,0,0
6,EBissoua,0.0,1.0,0.0,0.0,2022-10-15 23:43:38+00:00,HastaLaV1staa,"@Pope_Corn @NovaRmi1 @Tofeur_F1 Pas du tout d'accord, obligé de jailbreak l'iPhone pour le rendre plus agréable et maleable. On va me dire que je peux aussi root Android mais non, le software est plus ouvert et moins contraignant, dire qu'Apple est mieux n'est pas honnête ou c simplement ne pas s'y connaître",0,0,0
7,Narcinson,0.0,1.0,0.0,0.0,2022-10-15 23:42:48+00:00,EBissoua,@RPharys On ne vole pas les iPhone,0,0,0
8,RollyManzoanga1,0.0,1.0,0.0,0.0,2022-10-15 23:40:07+00:00,thejackkltd,"@TheSmurfffff @RoyBattySF @Tofeur_F1 C'est ton iPhone qui périme au bout de 3/4 ans.
Xiaomi fait des maj régulières même sur vieux modèles.
Modèle de 6 ans parfaitement opérationnel.
Tes données partent aux États-Unis, en quoi c'est différent ou mieux? 
IPhone = pas de carte SD = pure merde",2,0,1
9,iamOneself__,0.0,1.0,0.0,0.0,2022-10-15 23:39:31+00:00,Narcinson,Des gens qui ont un plan réparation écran iphone ?,1,0,2
10,didizne,0.0,1.0,0.0,0.0,2022-10-15 23:38:41+00:00,RollyManzoanga1,@BevikMputu @patientmadenge Même sur iPhone ?,1,0,0
11,Approuague,0.0,1.0,0.0,0.0,2022-10-15 23:38:29+00:00,RollyManzoanga1,@frisscokajou @patientmadenge Même sur iPhone ça marche bien?,1,0,1
12,rj_rgx,0.0,1.0,0.0,0.0,2022-10-15 23:38:18+00:00,iamOneself__,Tu vois manière dont ils ont gâté iPhone là non 😂😂😂😂 https://t.co/IxLLHAKk2J,0,0,0
13,willykamonda,0.0,1.0,0.0,0.0,2022-10-15 23:38:03+00:00,didizne,"@ximass01 @JustSadio Ça fait mal aux yeux et c’est basique, c’est les frond d’écran quand t’achètes l’iPhone ça",0,0,0
14,b_ritzon,0.0,1.0,0.0,0.0,2022-10-15 23:37:28+00:00,Approuague,@sacrifice_l Tu devrais leur répondre : fallait placer un iphone ou un smartphone dedans !,0,0,0
