,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,wiki_early_life,0.097,0.798,0.105,0.0516,2022-10-17 00:50:10+00:00,wiki_early_life,"Shoving an iPad in my boss’s face with the word “Raise?” with options to click 30%, 40%, 50%, like a desperate barista",26,359,5811
1,winonaparadise,0.0,1.0,0.0,0.0,2022-10-16 22:50:13+00:00,winonaparadise,Addams Family comic…. Pugsley get iPad https://t.co/dM1bej2im4,10,386,1541
2,ipod_video,0.0,0.742,0.258,0.8271,2022-10-16 22:05:05+00:00,ipod_video,suburbanite lack of class awareness director john carpenter https://t.co/wm5Ebhp1vJ https://t.co/VpZq3mrapE,2,42,623
3,theapplehub,0.0,0.886,0.114,0.4005,2022-10-16 18:02:59+00:00,theapplehub,This is what you can expect from the upcoming iPad Pro models that could launch as early as this week! Are you excited? https://t.co/3sXSsWULT1,71,133,1421
4,Fakemxcan,0.0,1.0,0.0,0.0,2022-10-16 17:35:45+00:00,Fakemxcan,@StokeyyG2 He still has an IPod?!?! 😂,17,2,2303
5,uma_izawa,0.0,1.0,0.0,0.0,2022-10-16 16:15:02+00:00,uma_izawa,iPad練習🏮 https://t.co/tHabXSLW7H,5,96,585
6,DanngoDaisuki,0.0,1.0,0.0,0.0,2022-10-16 15:38:55+00:00,theapplehub,"According to Mark Gurman, Apple is working on a docking accessory with a speaker for the iPad that turns it into a home hub. The new product could launch in 2023 https://t.co/bk1iU3Pb8k",21,130,1497
7,hiromono_,0.0,1.0,0.0,0.0,2022-10-16 13:47:33+00:00,DanngoDaisuki,"ラムちゃんも初めてらくがきしてみたっちゃよ〜〜！
さっきのより少しは線はまとめられたけど難しいっちゃ！💦

…いい加減😓iPadでもっと気楽にらくがき出来たらいいけどやっぱらくがきは紙と鉛筆になっちゃうな〜〜🤔 https://t.co/WO7WrRIWQ2",8,564,2571
8,_518_nya_,0.0,1.0,0.0,0.0,2022-10-16 13:22:24+00:00,hiromono_,iPadデビュー記念 https://t.co/G2rGeGJrhb,10,572,16541
9,LiSA_OLiVE,0.0,1.0,0.0,0.0,2022-10-16 12:36:44+00:00,_518_nya_,"／

iPad Pro11インチ or ギフト券10万円分

＼

お好きな方をプレゼント🎁

☕️応募方法
❶本投稿をRT
❷引用元のリツイート&amp;いいね

⤴️RT+引用リツイートで確率UP⤴️
*企画に関するコメは当選対象外❌

☕️締切
10/18 23時59分〆

⚠️抽選ったーにて選出後DMします📥 https://t.co/oekuTLX47z https://t.co/Q6kbPMTb3a",45,1359,640
10,Ch15_y,0.0,1.0,0.0,0.0,2022-10-16 12:01:16+00:00,LiSA_OLiVE,"#みんなでオーディオコメンタリー
#EB
！iPadからキャス配信中 -
https://t.co/seFSRbEgQR",41,351,2153
11,mukakin1203,0.0,1.0,0.0,0.0,2022-10-16 11:30:34+00:00,Ch15_y,"私の独り言だから誰も反応しなくていいんですが
小学生とか中学生の同年代でデジ絵描けてたりiPadとか液タブ持ってたりしてる方みるとさ、私はスマホでやってるのに、指で描いてんのに、なんでこの人たちはこんな恵まれてんの？って嫉妬でおかしくなりそうになるんよ。スマホ持ててるだけで幸せだとい",29,48,951
12,sawada46493,0.0,1.0,0.0,0.0,2022-10-16 10:35:16+00:00,mukakin1203,"明日、ロゼオセロLIVE前の16時にiPad Pro11のプレゼント企画ツイートです…。
当選者1人は5分以内に反応した人から選ぶよ😛
通知オン頑張レェ🤓",165,322,1461
13,zokubu_tsu,0.0,1.0,0.0,0.0,2022-10-16 10:00:13+00:00,sawada46493,"/
只今総額115万円プレゼント企画実施中

iPad Pro 4台 iPad Air5 2台

新型iPad 1台 Airpods 2台

Switch 4台 スイッチライト 15台

全てモーメントにまとめました📣
\

①このツイートいいね＆RT♻️

↑ 上記してくれた方の中から抽選で1名様にギフト券5000円分贈ります。

〈締切〉
10/22 23時59分 https://t.co/5zKWa6LNyA",225,7226,6490
14,chenletonin,0.0,0.695,0.305,0.6908,2022-10-16 09:27:11+00:00,zokubu_tsu,"「あのw自分""オタク""なんでスけども...w」を常に枕詞に付けてた奴へ

ガッサガサの白ペンしかなかったおかげでお前のiPadに過去一で下手なサインを書いてしまったので、次会う時があれば必ず書き直させてください",5,28,1249
15,7DREAMPJS,0.0,0.789,0.211,0.4939,2022-10-16 05:34:58+00:00,chenletonin,"who holds an iphone plus, passport and iPad mini with one hand like that https://t.co/UBvfGC3weM",17,667,5107
16,fairymochisung,0.0,0.814,0.186,0.4939,2022-10-16 05:08:49+00:00,7DREAMPJS,"holding his passport, earphone, iphone 8 pro and ipad mini with one hand 😆 https://t.co/mzWaByuZXn",19,802,4253
17,saitaka523,0.0,1.0,0.0,0.0,2022-10-16 05:01:21+00:00,fairymochisung,"jisung holding his passport, earphones, phone and ipad mini all with his big hand https://t.co/lSQryx8KCW",0,708,2132
18,ParkerOrtolani,0.0,0.788,0.212,0.8225,2022-10-16 04:24:27+00:00,saitaka523,"今から3年前、安倍総理は戸越銀座でお買い物。
桜田大臣はスマホを持ってたけど、安倍総理は持っていなかった。

iPadでQRコード決済をPR。

花屋さんで買い求めたのは、昭恵夫人への沢山の花束。

中国美女に転ぶような人じゃないよ。 https://t.co/odNiNNPOIU",16,246,1171
19,shillman1,0.0,1.0,0.0,0.0,2022-10-16 03:27:16+00:00,ParkerOrtolani,"First take on what I’m calling “HomeDock”

Inspired by HomePod, enabled by MagSafe, designed for iPad. As I’ve imagined before, the UI could adapt to work similar to tvOS with watchOS faces. The dock itself could be a tall mesh covered pedestal that charges iPad. https://t.co/JCWGYRtEuY",75,97,1929
20,AverageJoeWo,0.0,0.818,0.182,0.7964,2022-10-15 23:54:09+00:00,theapplehub,"According to Mark Gurman, Apple will launch new iPad Pro models “in a matter of days.” The new iPad Pro is expected to feature an M2 chip and MagSafe charging https://t.co/VR2K9vcxNe",14,106,1278
21,appltrack,0.108,0.892,0.0,-0.4648,2022-10-15 23:24:23+00:00,shillman1,First tweet from a new iPad. Does it look different?,366,24,537
22,kasutera_tetete,0.0,1.0,0.0,0.0,2022-10-15 21:44:54+00:00,AverageJoeWo,Before my Dad passed he recorded videos for us to watch later in life and my Mom brought me the iPod as a early birthday present. Best gift I could have ever asked for ❤️ https://t.co/mjmGFdMyUn,206,105,10252
23,verge,0.0,0.828,0.172,0.4019,2022-10-15 21:43:28+00:00,appltrack,Apple is reportedly planning to launch an iPad accessory that turns it into a speaker home hub in 2023 ‼️😳 https://t.co/1kTPf6lUgs,76,107,2264
24,MacRumors,0.0,0.936,0.064,0.0258,2022-10-15 20:48:06+00:00,kasutera_tetete,"すいません
小学生絵描きさんを悪く言いたいわけではありません
私の FFさんにも小学生いるし、iPad持ってる人なんてそこらじゅうにいるし、最後以外今なら普通みたいになってきてるような気がするし…
正直色んな子達がいるんだねーくらいの軽い気持ちでツイートしたし、私の嫉妬も入っているので↓",3,16,517
25,XavierNaxa,0.0,1.0,0.0,0.0,2022-10-15 19:01:07+00:00,verge,Apple reportedly wants to turn the iPad into a smart display and speaker https://t.co/iLze3Fu1t7 https://t.co/d2hMdncV2u,27,41,670
26,famouslastrats,0.217,0.762,0.02,-0.8782,2022-10-15 18:51:22+00:00,appltrack,"Apple is working on a completely redesigned $329 iPad that will get the same flat-edge design as other models 👀🍎

It's rumored to release later this year... https://t.co/ULfuv3bQnk",20,56,1044
27,markgurman,0.0,0.941,0.059,0.4019,2022-10-15 18:33:31+00:00,MacRumors,Apple Has Worked on Docking Accessory That Would Turn the iPad Into a Smart Home Display https://t.co/ZpA6DWcYXu by @SamiFathi_ https://t.co/hfPEO1sSK7,54,70,1200
28,xxx_03cha,0.0,1.0,0.0,0.0,2022-10-15 18:26:01+00:00,appltrack,"BREAKING: New iPad Pro models are ""arriving in a matter of days"" 👀‼️

A similar design and 20% faster M2 chip are expected... https://t.co/TadAIsfVM9",70,110,1935
29,jongho_tunes,0.0,0.55,0.45,0.6012,2022-10-15 17:44:23+00:00,MacRumors,Gurman: New M2 iPad Pro Models to Be Announced ‘In a Matter of Days’ https://t.co/qj8GVIWf0V by @SamiFathi_ https://t.co/i6zPzIBJ8x,28,74,926
30,casablancalanca,0.0,1.0,0.0,0.0,2022-10-15 17:37:06+00:00,XavierNaxa,"iPad 10 dijangka dilancarkan beberapa hari sahaja lagi. Model ini dikhabarkan hadir dengan reka bentuk baharu, USB-C serta sokongan 5G berdasarkan laporan @markgurman   

Saya menjangkakan kenaikan harga asas bagi iPad 10 yang dianggar bermula RM1,599 - RM1,799. https://t.co/dO7ErzCgpj",17,256,900
31,moominyoongis,0.324,0.676,0.0,-0.34,2022-10-15 17:34:43+00:00,famouslastrats,"I have a confession.

there are a few mcr songs I've never heard. like, I have no idea what they sound like. mostly because I couldnt get ahold of them during ye olde ipod days, but also because no matter how bad things get, there's always gonna be an mcr song I haven't heard yet",28,40,949
32,Ipad31005,0.0,1.0,0.0,0.0,2022-10-15 16:57:00+00:00,markgurman,"Special Early Edition of Power On: Apple is launching the next iPad Pro with M2 very soon, new MacBook Pros are on track for later this year and Apple is planning to turn the iPad into a Google Pixel Tablet-like home hub next year. https://t.co/t3vsRzEakS",46,104,768
33,wqxfs_,0.0,1.0,0.0,0.0,2022-10-15 15:21:41+00:00,xxx_03cha,"左アンジュ(アイビス、スマホ指描き)
右モーニング(クリスタ、iPadペンシル)
割と間も空いてるので作画も微妙に違う https://t.co/7ZxrHBxdSC",0,309,2365
