,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,UberFacts,0.0,1.0,0.0,0.0,2022-10-18 04:31:00+00:00,UberFacts,Steve Jobs had a high school GPA of 2.65,49,236,2388
1,Brian_O_Mars,0.049,0.852,0.099,0.3612,2022-10-16 14:44:20+00:00,Brian_O_Mars,"@captn_leevi Just watched the video, what probably caused this was that she shared videos of the workspace. You need permission for that in some companies. A frame looks like the Steve Jobs center where they shoot those apple events. She probably didn’t seek permission for that.",4,39,2332
2,BradMossEsq,0.085,0.81,0.105,0.128,2022-10-15 16:34:58+00:00,BradMossEsq,There are literal videos of Steve Jobs when he was alive explaining why the iPhone does exactly that you ignorant twit. https://t.co/9aGHX46t8Z,82,497,3829
3,nycsouthpaw,0.067,0.856,0.076,0.0772,2022-10-15 16:31:56+00:00,nycsouthpaw,So old I remember Steve Jobs bragging about how the screen turns off to avoid “spurious inputs from your face” at the first announcement of the iPhone in like 2007 https://t.co/MVQzFqlqUC,39,196,1942
4,fesshole,0.0,0.967,0.033,0.1655,2022-10-13 18:25:02+00:00,fesshole,Boss asked for a volunteer to be the office 'IT expert' so I did it. I even got a promotion on the back of it. Truth is I haven't a clue about IT but I work with luddites. e.g. this one old guy jammed a USB cable into an HDMI port. They think I'm basically Steve Jobs.,170,148,11296
5,FoundersPodcast,0.358,0.642,0.0,-0.5994,2022-10-13 16:38:35+00:00,FoundersPodcast,Steve Jobs on building a real company: https://t.co/SCztcIxGGr,16,272,1760
6,EclecticHams,0.0,0.904,0.096,0.1901,2022-10-13 16:03:45+00:00,EclecticHams,@trocchio33 Silicon valley is all about creating a cult of personality around the CEOs. They want him to be Steve Jobs but he lacks literally any mystique or charisma.,5,16,1888
7,Dr_Blazquez,0.0,1.0,0.0,0.0,2022-10-13 10:24:32+00:00,Dr_Blazquez,Frase Steve Jobs vía @spanishleaders https://t.co/rit01BCuJb,8,378,1882
8,naval,0.0,0.763,0.237,0.6808,2022-10-13 04:18:06+00:00,naval,You can admire Elon Musk and Steve Jobs while knowing that you don’t need to be like them at all.,429,1192,14680
9,rajshamani,0.0,0.936,0.064,0.2263,2022-10-12 15:20:41+00:00,rajshamani,"Steve Jobs net worth was $1 million at the age of 23.

At 25, it grew to $250 million.

Here are the life philosophies he lived by: [A Thread]",47,377,2120
10,Suhail,0.092,0.908,0.0,-0.3252,2022-10-12 06:15:34+00:00,Suhail,"Possibly the biggest breakthrough I’ve seen this week. If not true research, a breakthrough in AI utility.

Hearing Steve Jobs posthumously gives me goosebumps.

https://t.co/heBkIEDECb",72,151,1180
11,AbogadoDijo,0.048,0.952,0.0,-0.296,2022-10-11 23:42:22+00:00,AbogadoDijo,"Steve Jobs fue el socio fundador de Apple desde un garage, Bill Gates conquistó el mundo del software desde un garage, y Lázaro Báez es el mayor terrateniente de argentina desde un garage... Aunque ustedes no desconfían de Gates o de Jobs, pero si del compañero Lázaro.",181,142,1295
12,NealGardner_,0.0,0.706,0.294,0.3612,2022-10-11 19:40:41+00:00,NealGardner_,Why is Messi dressed like Steve Jobs?,48,94,2973
13,TrungTPhan,0.057,0.805,0.138,0.4767,2022-10-11 16:32:41+00:00,TrungTPhan,"This is insane.

The site https://t.co/RgFew0hZGD used AI to create a decent-sounding interview between Joe Rogan and Steve Jobs (one hilarious guff: it’s called the “Bro Jogan Experience”).

Here’s a short clipping: https://t.co/ChigNAHtrH",50,252,1570
14,frantzfries,0.062,0.817,0.122,0.4601,2022-10-11 12:47:49+00:00,frantzfries,"This absolutely broke my brain

A new episode of the Joe Rogan Show just dropped *but it’s generated by AI*

And he interviews Steve Jobs about his early life

It’s pitch perfect and could easily pass as real

AI is coming for podcasts apparently 

https://t.co/7jjmY4nXnN",105,255,1517
15,maccaw,0.0,0.73,0.27,0.743,2022-10-11 11:40:22+00:00,maccaw,"This is pretty mind-blowing: a podcast that is entirely generated by artificial intelligence where Joe Rogan interviews Steve Jobs. 

https://t.co/JPeKZ8ylxk",424,1654,8418
16,EzuieQuotes,0.209,0.791,0.0,-0.5719,2022-10-11 02:06:00+00:00,EzuieQuotes,"""Don’t let the noise of others opinions drown out your own inner voice."" - Steve Jobs",9,255,1360
17,SnazzyQ,0.0,0.902,0.098,0.5994,2022-10-10 20:22:39+00:00,SnazzyQ,"It’s hard to ignore what Steve Jobs did for Apple, but I think in most regards, Tim Cook is Apple’s best CEO and one of the best CEOs of any company—at any point in time.",225,145,4164
18,Trace_Cohen,0.074,0.816,0.111,0.34,2022-10-10 14:33:23+00:00,Trace_Cohen,"I love this app… $70B market cap CEO gets called out and flat out lies about what it would take a pre/seed startup a few days to change. 

This is why Steve Jobs never tweeted. https://t.co/rKA2xkJ302",42,139,1964
19,dougboneparth,0.0,0.95,0.05,0.1779,2022-10-09 18:30:40+00:00,FoundersPodcast,Steve Jobs: Asking for help is a superpower https://t.co/JtOwvX5IzW,32,443,3251
20,unfunnyket,0.0,1.0,0.0,0.0,2022-10-08 13:30:10+00:00,dougboneparth,Steve Jobs was 20 when he founded Apple. Jeff Bezos was 30 when he started Amazon. Mark Zuckerberg was only 19 when he debuted Facebook. It’s too late. You need to give up.,494,885,10849
