,Id,neg,neu,pos,compound,Date,User,Tweet,Comment,RT,Like
0,tim_cook,0.0,0.874,0.126,0.7096,2022-10-18 15:26:11+00:00,tim_cook,"We’re excited to introduce our most advanced iPad lineup yet! iPad has major updates, and M2 supercharges iPad Pro’s performance to help unleash your creativity and enhance productivity. Looking forward to seeing what our users will create! https://t.co/POT5Kd6sTM",470,897,5279
1,SnazzyQ,0.13,0.688,0.181,0.1027,2022-10-18 12:00:01+00:00,tim_cook,The possibilities are endless. #TakeNote https://t.co/msmJg865tr,747,3980,25097
2,Public_Citizen,0.336,0.664,0.0,-0.935,2022-10-13 16:17:59+00:00,SnazzyQ,"Lots of people think Tim Cook is a good, noble, caring, honest man. Those people conveniently forget that the monster forced everyone to have the “Songs of Innocence” U2 album in their libraries.",102,112,3072
3,matteorenzi,0.0,1.0,0.0,0.0,2022-10-10 20:22:39+00:00,SnazzyQ,"It’s hard to ignore what Steve Jobs did for Apple, but I think in most regards, Tim Cook is Apple’s best CEO and one of the best CEOs of any company—at any point in time.",225,145,4164
4,reckless,0.0,0.846,0.154,0.8126,2022-10-10 14:04:44+00:00,tim_cook,"On this Indigenous Peoples’ Day, we honor the dynamic cultures, experiences, and contributions of Native communities.",357,337,4839
5,ijustine,0.0,1.0,0.0,0.0,2022-10-05 14:12:03+00:00,tim_cook,"Steve showed us all, again and again, that a great idea really can change the world. Remembering him today and always. https://t.co/LNPBYjOiLs",1178,6103,55968
6,SmuldersStefan,0.0,1.0,0.0,0.0,2022-10-04 16:49:56+00:00,Public_Citizen,"Do not trust Elon Musk.

Do not trust Jeff Bezos.

Do not trust Mark Zuckerberg.

Do not trust Tim Cook.

Do not trust Sundar Pichai. 

Do not trust the billionaires.

Do not trust Big Tech.

Regulate them. Break up Big Tech. Hold them accountable.",350,1514,6822
7,karaswisher,0.041,0.883,0.076,0.4404,2022-09-30 19:09:32+00:00,tim_cook,"What an incredible week spending time with our teams across Europe and celebrating developers, students, and creators who are leaving their mark on the world. Grazie mille team Milan — Arrivederci! https://t.co/zCumAio2bU",223,226,4300
8,ChrisJBakke,0.0,1.0,0.0,0.0,2022-09-29 17:37:10+00:00,tim_cook,We launched the Apple Developer Academy in Naples — our first in Europe — to help students from all over the world learn the skills they need to enrich people’s lives. Today’s visit was a reminder of all education can inspire — and I can’t wait to see what these students achieve. https://t.co/tLHf2o52YW,125,533,4928
9,DefenceU,0.0,0.781,0.219,0.6808,2022-09-29 15:10:02+00:00,matteorenzi,"Tim Cook, CEO di Apple, riceve la laurea honoris causa dalla Federico II. Sono  orgoglioso del lavoro insieme per portare la Apple Academy a Napoli. Perché questo è il Sud che vogliamo: quello che scommette sul talento, non sul reddito. Sullo studio, non sul sussidio #RenewEurope",904,613,3998
10,JamieLightShed,0.068,0.837,0.095,0.1779,2022-09-29 14:25:15+00:00,tim_cook,"We are keeping everyone being affected by Hurricane Ian in our thoughts, and we thank the first responders for helping those in harm’s way. Apple is donating to relief efforts on the ground.",134,261,3907
11,mirimemiri,0.05,0.776,0.174,0.7506,2022-09-28 19:45:29+00:00,tim_cook,"Ciao Italia — great to be in Naples! Thank you to sculptor Jago for inviting me to his incredible studio. Inspired by artists of the past, he uses technology to create masterpieces for generations to come. https://t.co/FAx8a1LFUb",209,592,8200
12,D4ofR,0.0,1.0,0.0,0.0,2022-09-28 17:25:40+00:00,tim_cook,"Hard to believe it’s been almost 15 years since we opened Apple Rosenstraße, our first store in Germany. Great to be back with the team! https://t.co/pLZoecvkZU",145,225,5958
13,MKBHD,0.0,1.0,0.0,0.0,2022-09-28 16:01:44+00:00,tim_cook,The young athletes at @FCBayern are learning critical skills both on and off the pitch. I especially enjoyed seeing how they use our products to train hard and achieve their dreams. https://t.co/mgdikZ8gVJ,119,348,6168
14,rsgnl,0.0,1.0,0.0,0.0,2022-09-28 13:15:09+00:00,tim_cook,Surfs up in Munich! It was amazing to see what local photographer Jannik Obenhoff was able to capture on iPhone 14 Pro Max at one of the only urban surfing spots in the world. https://t.co/hrDcUkr2Bj,140,296,7291
15,caslernoel,0.0,0.884,0.116,0.3612,2022-09-28 10:59:24+00:00,tim_cook,Visited our latest state-of-the-art labs in Munich this morning. This chamber is where our incredible engineers conduct some of the cellular testing done to ensure we’re optimizing for performance and connectivity. https://t.co/JKRTMa23NA,188,378,7647
16,r0unak,0.0,1.0,0.0,0.0,2022-09-28 05:05:05+00:00,tim_cook,"Schee, dass ma wieder amoi gmiadlich zamsitzn. So happy to be back to Oktoberfest. Prost! https://t.co/AcPy8ugH9v",914,1735,31154
17,MorePerfectUS,0.057,0.943,0.0,-0.4215,2022-09-27 17:50:18+00:00,tim_cook,"Thanks for the warm welcome from the team at Apple Rosenthaler Straße in Berlin! Great to see German developers Flowkey, komoot, and Dogo, who are helping people all over the world learn piano, plan a hike, or train their dog — including the very well-behaved Ninja. https://t.co/iuQ1aTYFBz",178,292,6552
18,PalmerReport,0.032,0.631,0.337,0.9628,2022-09-26 17:50:37+00:00,tim_cook,Go AFC Richmond! https://t.co/olPDEy6RhS,320,1190,21034
19,KylaInTheBurgh,0.0,0.899,0.101,0.6037,2022-09-26 14:31:49+00:00,tim_cook,It was great to spend time with our team members at Apple Brompton Road and Regent Street today. Their care and support for our customers always puts a smile on my face! https://t.co/gRisVO8bns,104,252,4784
20,EWErickson,0.037,0.775,0.188,0.8045,2022-09-26 13:19:38+00:00,tim_cook,We can’t wait to open our new offices in the iconic Battersea Power Station for so many of our team members in London early next year. It's a tribute to this incredible city and a reflection of our commitment to Apple's future in the UK. https://t.co/67M3qpaSTB,366,1703,18363
21,ighaworth,0.0,0.921,0.079,0.25,2022-09-25 20:53:58+00:00,tim_cook,L’Shanah Tovah — a happy Rosh Hashanah to all those celebrating around the world. Here’s to a peaceful year ahead. 🍯🍎,126,232,3345
22,kylegriffin1,0.07,0.809,0.121,0.34,2022-09-25 16:33:16+00:00,tim_cook,It’s good to be back in London! I really enjoyed spending time with customers and with our incredible team at Apple Covent Garden this afternoon. Thanks to everyone for the warm welcome! https://t.co/JBIQfZXfNs,201,305,7186
23,ianzelbo,0.2,0.8,0.0,-0.6418,2022-09-24 22:51:12+00:00,tim_cook,We're excited to connect with more customers in Seoul as we open Apple Jamsil in the vibrant Songpa District! 🇰🇷🙏🏻 https://t.co/9yEGjbHW1C,233,385,5306
24,matthewstoller,0.227,0.639,0.134,-0.7579,2022-09-23 23:36:09+00:00,tim_cook,"When you encounter portraiture shot by the extraordinary Brigitte Lacombe on iPhone 14 Pro Max, you have to stop and stare. https://t.co/QX8Renwivu",204,309,5648
25,Carnage4Life,0.036,0.964,0.0,-0.2023,2022-09-21 00:11:48+00:00,tim_cook,"Our hearts are with all the people of Puerto Rico as they come together to rebuild once again. We will donate to assist with immediate relief and ongoing recovery efforts. To everyone still in the path of Hurricane Fiona, please stay safe.",301,436,5331
